"probeset","gene","EntrezGene.ID","best_probe"
"200626_s_at","MATR3","9782",FALSE
"200627_at","PTGES3","10728",TRUE
"200628_s_at","WARS","7453",FALSE
"200629_at","WARS","7453",TRUE
"200630_x_at","SET","6418",FALSE
"200631_s_at","SET","6418",FALSE
"200632_s_at","NDRG1","10397",TRUE
"200633_at","UBB","7314",FALSE
"200634_at","PFN1","5216",TRUE
"200635_s_at","PTPRF","5792",FALSE
"200636_s_at","PTPRF","5792",FALSE
"200637_s_at","PTPRF","5792",FALSE
"200638_s_at","YWHAZ","7534",FALSE
"200639_s_at","YWHAZ","7534",FALSE
"200640_at","YWHAZ","7534",FALSE
"200641_s_at","YWHAZ","7534",TRUE
"200642_at","SOD1","6647",TRUE
"200643_at","HDLBP","3069",TRUE
"200644_at","MARCKSL1","65108",TRUE
"200645_at","GABARAP","11337",TRUE
"200646_s_at","NUCB1","4924",TRUE
"200647_x_at","EIF3C /// EIF3CL","728689 /// 8663",FALSE
"200648_s_at","GLUL","2752",TRUE
"200649_at","NUCB1","4924",FALSE
"200650_s_at","LDHA","3939",TRUE
"200651_at","GNB2L1","10399",FALSE
"200652_at","SSR2","6746",TRUE
"200653_s_at","CALM1","801",FALSE
"200654_at","P4HB","5034",FALSE
"200655_s_at","CALM1","801",FALSE
"200656_s_at","P4HB","5034",TRUE
"200657_at","SLC25A5","292",TRUE
"200658_s_at","PHB","5245",FALSE
"200659_s_at","PHB","5245",TRUE
"200660_at","S100A11","6282",TRUE
"200661_at","CTSA","5476",TRUE
"200662_s_at","TOMM20","9804",FALSE
"200663_at","CD63","967",TRUE
"200664_s_at","DNAJB1","3337",TRUE
"200665_s_at","SPARC","6678",FALSE
"200666_s_at","DNAJB1","3337",FALSE
"200667_at","UBE2D3","7323",FALSE
"200668_s_at","UBE2D3","7323",FALSE
"200669_s_at","UBE2D3","7323",TRUE
"200670_at","XBP1","7494",TRUE
"200671_s_at","SPTBN1","6711",TRUE
"200672_x_at","SPTBN1","6711",FALSE
"200673_at","LAPTM4A","9741",TRUE
"200674_s_at","RPL32","6161",TRUE
"200675_at","CD81","975",TRUE
"200676_s_at","UBE2L3","7332",TRUE
"200677_at","PTTG1IP","754",TRUE
"200678_x_at","GRN","2896",FALSE
"200679_x_at","HMGB1","3146",TRUE
"200680_x_at","HMGB1","3146",FALSE
"200681_at","GLO1","2739",TRUE
"200682_s_at","UBE2L3","7332",FALSE
"200683_s_at","UBE2L3","7332",FALSE
"200684_s_at","UBE2L3","7332",FALSE
"200685_at","SRSF11","9295",TRUE
"200686_s_at","SRSF11","9295",FALSE
"200687_s_at","SF3B3","23450",TRUE
"200688_at","SF3B3","23450",FALSE
"200689_x_at","EEF1G","1937",TRUE
"200690_at","HSPA9","3313",TRUE
"200691_s_at","HSPA9","3313",FALSE
"200692_s_at","HSPA9","3313",FALSE
"200693_at","YWHAQ","10971",TRUE
"200694_s_at","DDX24","57062",FALSE
"200695_at","PPP2R1A","5518",TRUE
"200696_s_at","GSN","2934",FALSE
"200697_at","HK1","3098",TRUE
"200698_at","KDELR2","11014",FALSE
"200699_at","KDELR2","11014",TRUE
"200700_s_at","KDELR2","11014",FALSE
"200701_at","NPC2","10577",TRUE
"200702_s_at","DDX24","57062",TRUE
"200703_at","DYNLL1","8655",TRUE
"200704_at","LITAF","9516",FALSE
"200705_s_at","EEF1B2","1933",TRUE
"200706_s_at","LITAF","9516",TRUE
"200707_at","PRKCSH","5589",TRUE
"200708_at","GOT2","2806",TRUE
"200709_at","FKBP1A","2280",FALSE
"200710_at","ACADVL","37",TRUE
"200711_s_at","SKP1","6500",FALSE
"200712_s_at","MAPRE1","22919",TRUE
"200713_s_at","MAPRE1","22919",FALSE
"200714_x_at","OS9","10956",FALSE
"200715_x_at","RPL13A","23521",TRUE
"200716_x_at","RPL13A","23521",FALSE
"200717_x_at","RPL7","6129",FALSE
"200718_s_at","SKP1","6500",FALSE
"200719_at","SKP1","6500",FALSE
"200720_s_at","ACTR1A","10121",FALSE
"200721_s_at","ACTR1A","10121",TRUE
"200722_s_at","CAPRIN1","4076",TRUE
"200723_s_at","CAPRIN1","4076",FALSE
"200724_at","RPL10","6134",FALSE
"200725_x_at","RPL10","6134",FALSE
"200726_at","PPP1CC","5501",TRUE
"200727_s_at","ACTR2","10097",TRUE
"200728_at","ACTR2","10097",FALSE
"200729_s_at","ACTR2","10097",FALSE
"200730_s_at","PTP4A1","7803",TRUE
"200731_s_at","PTP4A1","7803",FALSE
"200732_s_at","PTP4A1","7803",FALSE
"200733_s_at","PTP4A1","7803",FALSE
"200734_s_at","ARF3","377",FALSE
"200735_x_at","NACA","4666",FALSE
"200736_s_at","GPX1","2876",TRUE
"200737_at","PGK1","5230",FALSE
"200738_s_at","PGK1","5230",FALSE
"200739_s_at","SUMO3","6612",TRUE
"200740_s_at","SUMO3","6612",FALSE
"200741_s_at","RPS27","6232",TRUE
"200742_s_at","TPP1","1200",FALSE
"200743_s_at","TPP1","1200",FALSE
"200744_s_at","GNB1","2782",TRUE
"200745_s_at","GNB1","2782",FALSE
"200746_s_at","GNB1","2782",FALSE
"200747_s_at","NUMA1","4926",FALSE
"200748_s_at","FTH1","2495",FALSE
"200750_s_at","RAN","5901",TRUE
"200751_s_at","HNRNPC","3183",TRUE
"200752_s_at","CAPN1","823",TRUE
"200753_x_at","SRSF2","6427",FALSE
"200754_x_at","SRSF2","6427",FALSE
"200755_s_at","CALU","813",FALSE
"200756_x_at","CALU","813",FALSE
"200757_s_at","CALU","813",FALSE
"200758_s_at","NFE2L1","4779",TRUE
"200759_x_at","NFE2L1","4779",FALSE
"200760_s_at","ARL6IP5","10550",TRUE
"200761_s_at","ARL6IP5","10550",FALSE
"200762_at","DPYSL2","1808",TRUE
"200763_s_at","RPLP1","6176",TRUE
"200764_s_at","CTNNA1","1495",FALSE
"200765_x_at","CTNNA1","1495",FALSE
"200766_at","CTSD","1509",TRUE
"200767_s_at","FAM120A","23196",FALSE
"200768_s_at","MAT2A","4144",FALSE
"200769_s_at","MAT2A","4144",TRUE
"200770_s_at","LAMC1","3915",TRUE
"200771_at","LAMC1","3915",FALSE
"200772_x_at","PTMA","5757",FALSE
"200773_x_at","PTMA","5757",FALSE
"200774_at","FAM120A","23196",FALSE
"200775_s_at","HNRNPK","3190",FALSE
"200776_s_at","BZW1","9689",TRUE
"200777_s_at","BZW1","9689",FALSE
"200778_s_at","SEPT2","4735",TRUE
"200779_at","ATF4","468",TRUE
"200780_x_at","GNAS","2778",FALSE
"200781_s_at","RPS15A","6210",TRUE
"200782_at","ANXA5","308",TRUE
"200783_s_at","STMN1","3925",TRUE
"200784_s_at","LRP1","4035",TRUE
"200785_s_at","LRP1","4035",FALSE
"200786_at","PSMB7","5695",TRUE
"200787_s_at","PEA15","8682",TRUE
"200788_s_at","PEA15","8682",FALSE
"200789_at","ECH1","1891",TRUE
"200790_at","ODC1","4953",TRUE
"200791_s_at","IQGAP1","8826",FALSE
"200792_at","XRCC6","2547",FALSE
"200793_s_at","ACO2","50",FALSE
"200794_x_at","DAZAP2","9802",FALSE
"200795_at","SPARCL1","8404",TRUE
"200796_s_at","MCL1","4170",TRUE
"200797_s_at","MCL1","4170",FALSE
"200798_x_at","MCL1","4170",FALSE
"200799_at","HSPA1A","3303",TRUE
"200800_s_at","HSPA1A /// HSPA1B","3303 /// 3304",FALSE
"200801_x_at","ACTB","60",FALSE
"200802_at","SARS","6301",TRUE
"200803_s_at","TMBIM6","7009",FALSE
"200804_at","TMBIM6","7009",TRUE
"200805_at","LMAN2","10960",FALSE
"200806_s_at","HSPD1","3329",TRUE
"200807_s_at","HSPD1","3329",FALSE
"200808_s_at","ZYX","7791",FALSE
"200809_x_at","RPL12","6136",FALSE
"200810_s_at","CIRBP","1153",TRUE
"200811_at","CIRBP","1153",FALSE
"200812_at","CCT7","10574",TRUE
"200813_s_at","PAFAH1B1","5048",FALSE
"200814_at","PSME1","5720",TRUE
"200815_s_at","PAFAH1B1","5048",FALSE
"200816_s_at","PAFAH1B1","5048",FALSE
"200817_x_at","RPS10","6204",FALSE
"200818_at","ATP5O","539",FALSE
"200819_s_at","RPS15","6209",TRUE
"200820_at","PSMD8","5714",TRUE
"200821_at","LAMP2","3920",FALSE
"200822_x_at","TPI1","7167",FALSE
"200823_x_at","RPL29","6159",TRUE
"200824_at","GSTP1","2950",TRUE
"200825_s_at","HYOU1","10525",TRUE
"200826_at","SNRPD2","6633",TRUE
"200827_at","PLOD1","5351",TRUE
"200828_s_at","ZNF207","7756",TRUE
"200829_x_at","ZNF207","7756",FALSE
"200830_at","PSMD2","5708",TRUE
"200831_s_at","SCD","6319",FALSE
"200832_s_at","SCD","6319",FALSE
"200833_s_at","RAP1B","5908",TRUE
"200834_s_at","RPS21","6227",FALSE
"200835_s_at","MAP4","4134",TRUE
"200836_s_at","MAP4","4134",FALSE
"200837_at","BCAP31","10134",TRUE
"200838_at","CTSB","1508",TRUE
"200839_s_at","CTSB","1508",FALSE
"200840_at","KARS","3735",TRUE
"200841_s_at","EPRS","2058",TRUE
"200842_s_at","EPRS","2058",FALSE
"200843_s_at","EPRS","2058",FALSE
"200844_s_at","PRDX6","9588",TRUE
"200845_s_at","PRDX6","9588",FALSE
"200846_s_at","PPP1CA","5499",TRUE
"200847_s_at","TMEM66","51669",TRUE
"200848_at","AHCYL1","10768",FALSE
"200849_s_at","AHCYL1","10768",FALSE
"200850_s_at","AHCYL1","10768",FALSE
"200851_s_at","KIAA0174","9798",FALSE
"200852_x_at","GNB2","2783",TRUE
"200853_at","H2AFZ","3015",TRUE
"200854_at","NCOR1","9611",TRUE
"200855_at","NCOR1","9611",FALSE
"200856_x_at","NCOR1","9611",FALSE
"200857_s_at","NCOR1","9611",FALSE
"200858_s_at","RPS8","6202",TRUE
"200859_x_at","FLNA","2316",FALSE
"200860_s_at","CNOT1","23019",TRUE
"200861_at","CNOT1","23019",FALSE
"200862_at","DHCR24","1718",TRUE
"200863_s_at","RAB11A","8766",FALSE
"200864_s_at","RAB11A","8766",TRUE
"200865_at","EIF3F","8665",TRUE
"200866_s_at","PSAP","5660",TRUE
"200867_at","RNF114","55905",FALSE
"200868_s_at","RNF114","55905",FALSE
"200869_at","RPL18A /// RPL18AP3","390354 /// 6142",FALSE
"200870_at","STRAP","11171",TRUE
"200871_s_at","PSAP","5660",FALSE
"200872_at","S100A10","6281",TRUE
"200873_s_at","CCT8","10694",FALSE
"200874_s_at","NOP56","10528",FALSE
"200875_s_at","NOP56","10528",TRUE
"200876_s_at","PSMB1","5689",FALSE
"200877_at","CCT4","10575",TRUE
"200878_at","EPAS1","2034",FALSE
"200879_s_at","EPAS1","2034",TRUE
"200880_at","DNAJA1","3301",FALSE
"200881_s_at","DNAJA1","3301",TRUE
"200882_s_at","PSMD4","5710",FALSE
"200883_at","UQCRC2","7385",TRUE
"200884_at","CKB","1152",TRUE
"200885_at","RHOC","389",TRUE
"200886_s_at","PGAM1","5223",TRUE
"200887_s_at","STAT1","6772",FALSE
"200888_s_at","RPL23","9349",FALSE
"200889_s_at","SSR1","6745",FALSE
"200890_s_at","SSR1","6745",TRUE
"200891_s_at","SSR1","6745",FALSE
"200892_s_at","TRA2B","6434",FALSE
"200893_at","TRA2B","6434",FALSE
"200894_s_at","FKBP4","2288",FALSE
"200895_s_at","FKBP4","2288",TRUE
"200896_x_at","HDGF","3068",FALSE
"200897_s_at","PALLD","23022",FALSE
"200898_s_at","MGEA5","10724",FALSE
"200899_s_at","MGEA5","10724",FALSE
"200900_s_at","M6PR","4074",TRUE
"200901_s_at","M6PR","4074",FALSE
"200902_at","SEP15","9403",TRUE
"200903_s_at","AHCY","191",TRUE
"200904_at","HLA-E","3133",TRUE
"200905_x_at","HLA-E","3133",FALSE
"200906_s_at","PALLD","23022",FALSE
"200907_s_at","PALLD","23022",TRUE
"200908_s_at","RPLP2","6181",FALSE
"200909_s_at","RPLP2","6181",FALSE
"200910_at","CCT3","7203",TRUE
"200911_s_at","TACC1","6867",FALSE
"200912_s_at","EIF4A2","1974",TRUE
"200913_at","PPM1G","5496",TRUE
"200914_x_at","KTN1","3895",TRUE
"200915_x_at","KTN1","3895",FALSE
"200916_at","TAGLN2","8407",TRUE
"200917_s_at","SRPR","6734",TRUE
"200918_s_at","SRPR","6734",FALSE
"200919_at","PHC2","1912",TRUE
"200920_s_at","BTG1","694",TRUE
"200921_s_at","BTG1","694",FALSE
"200922_at","KDELR1","10945",TRUE
"200923_at","LGALS3BP","3959",TRUE
"200924_s_at","SLC3A2","6520",TRUE
"200925_at","COX6A1","1337",TRUE
"200926_at","RPS23","6228",TRUE
"200927_s_at","RAB14","51552",FALSE
"200928_s_at","RAB14","51552",TRUE
"200929_at","TMED10","10972",TRUE
"200930_s_at","VCL","7414",TRUE
"200931_s_at","VCL","7414",FALSE
"200932_s_at","DCTN2","10540",FALSE
"200933_x_at","RPS4X","6191",FALSE
"200934_at","DEK","7913",TRUE
"200935_at","CALR","811",TRUE
"200936_at","RPL8","6132",TRUE
"200937_s_at","RPL5","6125",FALSE
"200938_s_at","RERE","473",FALSE
"200939_s_at","RERE","473",TRUE
"200940_s_at","RERE","473",FALSE
"200941_at","HSBP1","3281",TRUE
"200942_s_at","HSBP1","3281",FALSE
"200943_at","HMGN1","3150",TRUE
"200944_s_at","HMGN1","3150",FALSE
"200945_s_at","SEC31A","22872",TRUE
"200946_x_at","GLUD1","2746",TRUE
"200947_s_at","GLUD1","2746",FALSE
"200948_at","MLF2","8079",TRUE
"200949_x_at","RPS20","6224",TRUE
"200950_at","ARPC1A","10552",TRUE
"200951_s_at","CCND2","894",TRUE
"200952_s_at","CCND2","894",FALSE
"200953_s_at","CCND2","894",FALSE
"200954_at","ATP6V0C","527",TRUE
"200955_at","IMMT","10989",TRUE
"200956_s_at","SSRP1","6749",TRUE
"200957_s_at","SSRP1","6749",FALSE
"200958_s_at","SDCBP","6386",TRUE
"200959_at","FUS","2521",FALSE
"200960_x_at","CLTA","1211",FALSE
"200961_at","SEPHS2","22928",TRUE
"200962_at","RPL31","6160",TRUE
"200963_x_at","RPL31","6160",FALSE
"200964_at","UBA1","7317",TRUE
"200965_s_at","ABLIM1","3983",FALSE
"200966_x_at","ALDOA","226",TRUE
"200967_at","PPIB","5479",FALSE
"200968_s_at","PPIB","5479",TRUE
"200969_at","SERP1","27230",TRUE
"200970_s_at","SERP1","27230",FALSE
"200971_s_at","SERP1","27230",FALSE
"200972_at","TSPAN3","10099",FALSE
"200973_s_at","TSPAN3","10099",TRUE
"200974_at","ACTA2","59",TRUE
"200975_at","PPT1","5538",TRUE
"200976_s_at","TAX1BP1","8887",FALSE
"200977_s_at","TAX1BP1","8887",FALSE
"200978_at","MDH1","4190",TRUE
"200979_at","PDHA1","5160",TRUE
"200980_s_at","PDHA1","5160",FALSE
"200981_x_at","GNAS","2778",FALSE
"200982_s_at","ANXA6","309",TRUE
"200983_x_at","CD59","966",TRUE
"200984_s_at","CD59","966",FALSE
"200985_s_at","CD59","966",FALSE
"200986_at","SERPING1","710",TRUE
"200987_x_at","PSME3","10197",TRUE
"200988_s_at","PSME3","10197",FALSE
"200989_at","HIF1A","3091",TRUE
"200990_at","TRIM28","10155",TRUE
"200991_s_at","SNX17","9784",TRUE
"200992_at","IPO7","10527",FALSE
"200993_at","IPO7","10527",TRUE
"200994_at","IPO7","10527",FALSE
"200995_at","IPO7","10527",FALSE
"200996_at","ACTR3","10096",TRUE
"200997_at","RBM14 /// RBM4","10432 /// 5936",FALSE
"200998_s_at","CKAP4","10970",FALSE
"200999_s_at","CKAP4","10970",TRUE
"201000_at","AARS","16",TRUE
"201001_s_at","TMEM189-UBE2V1 /// UBE2V1","387522 /// 7335",FALSE
"201002_s_at","TMEM189-UBE2V1 /// UBE2V1","387522 /// 7335",FALSE
"201003_x_at","RNPEP /// TMEM189 /// TMEM189-UBE2V1 /// UBE2V1","387521 /// 387522 /// 6051 /// 7335",FALSE
"201004_at","SSR4","6748",TRUE
"201005_at","CD9","928",TRUE
"201006_at","PRDX2","7001",TRUE
"201007_at","HADHB","3032",TRUE
"201008_s_at","TXNIP","10628",TRUE
"201009_s_at","TXNIP","10628",FALSE
"201010_s_at","TXNIP","10628",FALSE
